Date,Product,Category,Unit_Price,Quantity,Store,Total_Amount
2023-04-13,Bag,Electronics,29838,4,Hyderabad,119352
2023-12-15,Shoes,Clothing,30419,1,Mumbai,30419
2023-09-28,Jacket,Accessories,8633,2,Kolkata,17266
2023-04-17,Tshirt,Accessories,5710,4,Hyderabad,22840
2023-03-13,Headphones,Clothing,18139,3,Pune,54417
2023-07-08,Perfume,Clothing,56344,3,Chennai,169032
2023-01-21,Jeans,Footwear,30819,2,Delhi,61638
2023-04-13,Laptop,Accessories,6108,3,Mumbai,18324
2023-05-02,Perfume,Fragrance,7096,1,Kolkata,7096
2023-08-03,Tshirt,Clothing,21480,4,Kolkata,85920
2023-11-27,Headphones,Clothing,54545,1,Bangalore,54545
2023-03-29,Tshirt,Electronics,43356,1,Chennai,43356
2023-04-10,Watch,Fragrance,18009,3,Delhi,54027
2023-12-26,Shoes,Fragrance,54428,1,Hyderabad,54428
2023-06-01,Jeans,Clothing,58857,3,Delhi,176571
2023-05-11,Mobile,Footwear,17843,4,Chennai,71372
2023-05-30,Shoes,Electronics,37718,4,Chennai,150872
2023-11-05,Mobile,Fragrance,29375,1,Pune,29375
2023-09-15,Headphones,Clothing,38055,2,Pune,76110
2023-12-10,Jacket,Fragrance,48268,3,Delhi,144804
2023-10-21,Laptop,Electronics,37765,3,Hyderabad,113295
2023-07-11,Bag,Electronics,30802,1,Delhi,30802
2023-10-04,Shoes,Accessories,17024,3,Chennai,51072
2023-06-10,Jeans,Clothing,4128,3,Chennai,12384
2023-11-10,Tshirt,Electronics,51420,2,Bangalore,102840
2023-01-22,Jeans,Accessories,17387,2,Pune,34774
2023-09-10,Headphones,Accessories,12905,1,Bangalore,12905
2023-08-24,Mobile,Fragrance,31637,2,Mumbai,63274
2023-12-11,Tshirt,Fragrance,5782,1,Chennai,5782
2023-02-18,Bag,Accessories,27305,4,Bangalore,109220
2023-02-28,Bag,Fragrance,23060,1,Delhi,23060
2023-06-19,Shoes,Electronics,51252,4,Pune,205008
